Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
B01644,MUSIC EXPRESS/N.Y. INC,,2017,8,August,1299,0,50
B00811,LLAMA LIMO C/S CORP,METROGREEN CAR SERVICE,2017,11,November,1880,0,35
B02060,AMERICAN LIMOUSINE LLC,RMA WORLDWIDE CHAUFFEUR SERVICE,2022,3,March,1170,0,60
B02152,"KYOEI LIMOUSINE, INC.","KYOEI LIMOUSINE, INC.",2016,4,April,331,0,11
B01081,GEORGE TOWN MANAGEMENT INC,,2018,9,September,1203,0,7
B01846,ROMANTIQUE LIMOUSINE INC.,,2015,10,October,77,0,10
B02728,NEWTOWN PRIVATE CAR SERVICE INC.,,2017,6,June,3170,0,15
B03138,WST LIMOUSINE LLC,,2021,5,May,88,0,9
B00281,"VEE CEE LIMOUSINE SERVICE, INC",NOSTRAND CAR SVCE,2018,4,April,1282,0,9
B03057,PROSPECT LUXURY CAR SERVICE,,2021,7,July,112,0,1
B02731,EMES OF BOROPARK CAR SERVICE INC,,2020,3,March,143,0,2
B01392,NEW AMERICAN CLASS L/C SERVICE CORP.,,2018,1,January,8303,0,69
B00811,LLAMA LIMO C/S CORP,METROGREEN CAR SERVICE,2016,5,May,5506,0,83
B01928,DISCOVER LIMO INC,INFINITY LIMO,2022,2,February,42,0,6
B01868,LIMO 4 LLC,DIAL 4 LIMO,2015,5,May,46,0,42
B00628,"CONCORD LIMOUSINE 1, LLC",,2020,7,July,1047,0,44
B02897,FC LIMOUSINE INC,,2018,10,October,1407,0,33
B01984,NY 88 EXPRESS CORP.,,2016,6,June,31483,0,154
B01984,NY 88 EXPRESS CORP.,,2021,11,November,7631,0,70
B00196,NEW EASY WAY RADIO DISP INC,,2019,10,October,103,0,7
B02917,C & A BLACK CAR CORP.,,2020,10,October,927,0,35
B01875,ON LINE LIMOUSINE LLC,,2017,8,August,3129,0,54
B00889,MEXICANA CAR SERVICE INC.,,2018,1,January,9921,0,47
B01846,ROMANTIQUE LIMOUSINE INC.,,2016,6,June,89,0,12
B00860,SEAMAN RADIO DISPATCHERS INC,,2016,8,August,42667,0,206
B02152,"KYOEI LIMOUSINE, INC.","KYOEI LIMOUSINE, INC.",2018,5,May,446,0,14
B01069,RPO CAR AND LIMOUSINE SERVICE INC.,,2018,1,January,1789,0,9
B03266,HOYT LIMO & SERVICE CORP.,,2020,8,August,7916,0,39
B03038,"SOUTH BRONX TRANSPORTATION,INC.",,2019,8,August,376,0,12
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",,2016,6,June,12726,0,87
B02163,JUNIORS EXPRESS CAR SERVICE INC.,,2016,5,May,2419,0,20
B01176,SANTO DOMINGO CAR LIMO SERVICES INC,,2021,2,February,667,0,9
B01079,THE METRO MARINE CAR SERVICE INC,MARINE LIMO & CAR SERVICE,2018,5,May,3871,0,9
B02670,STRIDE TRANSPORTATION INC.,,2017,6,June,906,0,42
B00350,A & A CHAMPION CAR LIMO SVC INC,,2020,11,November,2623,0,25
B02930,V.I.T. BLACK CAR TRANSPORTATION CORP.,,2020,7,July,5060,0,23
B01362,AMERICAN BASE NO.1 INC.,,2021,12,December,2586,0,15
B02574,"MTC LIMOUSINE & CORPORATE COACH,INC.",,2017,12,December,1380,0,50
B00625,"CENTRAL CAR SERVICES,INC.",,2019,9,September,3207,0,27
B00310,WATSON CAR SERVICE INC.,,2017,3,March,42697,0,194
B03046,"BEL-LINDA, INC",ISLANDER TRANS,2020,12,December,2386,0,17
B02774,ALFRED HOLDINGS INC.,ALFRED EXECUTIVE TRANSPORTATION,2018,3,March,411,0,23
B01263,"RACHEL'S CAR SERVICE,INC.",,2019,6,June,3132,0,12
B01445,J T TRANS CO INC,,2019,6,June,7062,0,77
B02569,LAPUMA GO GREEN LLC,GO GREENRIDE,2020,2,February,80,0,12
B01741,MONACO LIMO & CAR SERVICES INC.,,2015,12,December,2776,0,27
B01148,EVELYN CAR SERVICE INC,,2018,7,July,950,0,10
B00235,"ARISTACAR & LIMOUSINE, LTD.",,2022,2,February,674,0,9
B03316,BLADE URBAN GROUND MOBILITY LLC.,BLADE,2021,2,February,88,0,9
B02715,GROUNDANYWHERE LLC,,2019,5,May,19539,0,646
B00248,YELLOWSTONE TRANSPORTATION INC.,YES CAR SERVICE,2015,9,September,27407,0,145
B02774,ALFRED HOLDINGS INC.,ALFRED EXECUTIVE TRANSPORTATION,2021,12,December,546,0,64
B03202,JUPITER SELECT LLC,,2020,11,November,468,0,7
B02120,HARRISON GLOBAL LLC,BOSTON COACH,2019,2,February,5301,0,96
B01406,GOTHAM CAR SERVICE INC.,LEGEND CAR SERVICE,2018,6,June,495,0,8
B01537,S.I. SPEED INC.,,2016,4,April,4228,0,27
B01364,NY ATLIXCO CAR SERVICE INC,,2022,1,January,1116,0,8
B01417,NESHER EXPRESS CAR SERVICE 2 INC.,,2018,9,September,279,0,7
B02658,ASCONA CAR SERVICE INC.,,2016,3,March,342,0,5
B00477,INTA-BORO ACRES INC,,2017,2,February,9313,0,172
B01424,EAGLE CAR & LIMO LTD.,,2019,10,October,282,0,3
B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,,2021,8,August,22,0,2
B02191,US LIMO SYSTEM INC,,2020,9,September,23,0,4
B02794,ASAP LUXE INC,,2018,7,July,1615,0,11
B01306,"R N D TRANSPORTATION, INC.",MALONES CAR SVCE,2022,3,March,125,0,3
B02462,TIFFANY'S CAR SERVICE INC.,,2018,5,May,890,0,11
B01381,CLASSIC CAR SERVICE CORP.,PAISA CLASSIC,2021,8,August,1492,0,10
B01710,"79 MASADA III, INC.",MASADA III,2017,10,October,595,0,16
B02539,HAWK CAR AND LIMO SERVICE,JRIDE,2019,8,August,790,0,4
B01726,SUPER CLASS RADIO DISP INC,,2017,1,January,22207,0,134
B02975,LI YANG LIMOUSINE INC,,2021,4,April,2851,0,16
B02315,LA MORENITA CAR LIMO SERVICE INC,,2020,4,April,616,0,3
B00151,KINGSBAY CAR SERVICE INC,,2016,4,April,108,0,28
B02249,"LA RAZA CAR SERVICE, INC.",,2021,5,May,845,0,5
B02674,ELAL CAR LIMO SERVICE LLC,FIFTH AVENUE CAR LIMO SERVICE,2020,2,February,3321,0,11
B01537,S.I. SPEED INC.,,2016,6,June,4260,0,26
B02182,"FINEST CAR SERVICE, LLC",,2020,12,December,4494,0,46
B01614,R TRANSPORT INC,,2019,2,February,288,0,7
B02909,PUERTO RICO EXPRESS BLACK LUXURY INC,,2021,1,January,974,0,5
B02898,SANO CAR LLC,,2020,12,December,2656,0,15
B01200,NEW YORK APPLE CAR SERVICE INC,N Y LIMO & CAR SVCE,2018,1,January,4191,0,23
B02437,"EXCELLENT CAR & LIMO SERVICE, INC.",,2019,12,December,21396,0,91
B02016,PLANET LIMOUSINE LLC,,2018,6,June,1720,0,34
B01312,BROOKLYN RAD DISP INC,,2019,1,January,4812,129,33
B01964,"GOLDEN TOUCH TRANSPORTATION OF NY, INC.",ECAR NEW YORK,2018,7,July,1285,0,33
B03073,"TRANSMEDI, LLC",,2018,8,August,63,0,2
B02687,ECO RIDE INC.,ELECTRIC BLUE CAR SERVICE,2019,5,May,1881,0,10
B01800,EMPIRE INTERNATIONAL LTD.,,2018,9,September,8439,0,262
B00037,TRANSP UNLIMITED C/S,,2017,7,July,5097,0,43
B01667,"NEW GOLDEN HORSE C/L SVC,INC.",,2016,6,June,32209,0,177
B02909,PUERTO RICO EXPRESS BLACK LUXURY INC,,2022,5,May,689,0,4
B00227,"PARK WEST EXEC. SERVICES, INC.",TOWN CARS,2018,7,July,5366,0,112
B01311,DISCOUNT CAR SVCE,,2020,9,September,348,0,5
B02182,"FINEST CAR SERVICE, LLC",,2021,2,February,2762,0,32
B01479,PRATT CAR SERVICE INC,,2022,3,March,55,0,1
B00401,TREMONT DISPATCHING CORP,,2019,9,September,803,0,4
B02462,TIFFANY'S CAR SERVICE INC.,,2020,6,June,41,0,2
B01039,NYC WHEELS CAR SERVICE INC.,COMMUNICARE CAR SERVICE,2016,4,April,818,0,7
B02373,QUIET SERVICES INC,GOLDEN CLASS LIMO,2020,2,February,62,0,4
B03110,BETTER CAR & LIMOUSINE SERVICE INC,BELTWAY CAR SERVICE,2016,6,June,1,0,1
B02797,CJ LIMOUSINE LLC,,2021,4,April,175,0,11
B03177,BERNICE SERVICES INC,,2021,2,February,892,0,9
B01194,440 CAR SERVICE INC.,,2017,12,December,5639,0,25
B02120,HARRISON GLOBAL LLC,BOSTON COACH,2015,8,August,7548,0,154
B02988,"BED STAR DRIVERS ASSOCIATES, INC",,2020,7,July,765,0,6
B00559,7 OCEAN EXPRESS INC.,,2020,12,December,25,0,9
B03282,HOLY TRANSPORTATION CORP.,,2021,2,February,703,0,24
B02440,MLL LIMOUSINE SERVICES INC.,,2017,12,December,1154,0,37
B02429,SEAGULL RIDE CORP,,2021,11,November,4166,0,11
B00789,VITAL TRANSPORTATION INC.,,2019,11,November,7136,0,166
B01811,IVOIRE LIMO INC.,,2018,2,February,823,0,18
B01196,DIPLO RAD DISP INC,,2021,11,November,7595,0,53
B00789,VITAL TRANSPORTATION INC.,,2017,10,October,12253,0,210
B01616,"H & B CAR AND LIMOUSINE, INC",SUNNYSIDE CAR SERVICE,2019,5,May,1081,0,18
B02963,GULF LUXURY INC,,2018,8,August,211,0,5
B00248,YELLOWSTONE TRANSPORTATION INC.,YES CAR SERVICE,2019,7,July,11478,0,60
B01492,MOBILE #1 CAR SERVICE INC.,,2019,9,September,21,0,4
B02410,"POLO LIMOUSINE, CORP.",,2016,8,August,1120,0,41
B03107,JD XPRESS INC.,,2019,1,January,439,0,4
B03361,D MANNY SAFE RIDE CORP.,,2021,10,October,174,0,1
B02152,"KYOEI LIMOUSINE, INC.","KYOEI LIMOUSINE, INC.",2019,12,December,363,0,14
B01081,GEORGE TOWN MANAGEMENT INC,,2016,4,April,1791,0,17
B02998,GENESIS LUXURY TRANSPORTATION CORP.,,2019,4,April,7071,0,36
B02749,FACE LIMO INC,,2017,7,July,573,0,16
B02468,GROUNDLINK HOLDINGS LLC,GROUNDLINK YOUR'E GOOD TO GO,2017,5,May,942,0,46
B01989,"ICS-NY, INC.",,2017,12,December,607,0,27
B02144,"SILVER STAR LIMOUSINES, INC.",,2022,1,January,183,0,4
B00448,DIAL CAR INC.,,2015,1,January,89,0,9
B02671,COMMUNITY CAR SERVICE PRISCILLA CORP,,2020,10,October,2035,0,10
b00990,"MIRAGE LIMOUSINE SERVICE, INC.",UFO PVT C/L SERVICE,2016,3,March,62,0,1
B01445,J T TRANSPORTATION CO INC,,2021,11,November,1821,0,33
B02175,MURRAY'S LIMOUSINE SERVICE INC.,,2016,4,April,68,0,10
B02925,SIGNATURE BLACK CAR LLC,,2017,11,November,731,0,33
B02315,LA MORENITA CAR LIMO SERVICE INC,,2021,12,December,1451,0,8
B01454,FREEDOM LIMO & CAR SERVICE,,2022,3,March,2020,0,9
B01923,"AVID INTERNATIONAL, INC.",,2017,5,May,1111,0,16
B01964,"GOLDEN TOUCH TRANSPORTATION OF NY, INC.",ECAR NEW YORK,2017,4,April,1482,0,41
B01553,CITY LINE CAR SERVICE INC,,2020,5,May,1173,0,12
B00536,"WINTHROP HOLDING OF NEW YORK, INC",,2020,10,October,1731,0,13
B02909,PUERTO RICO EXPRESS BLACK LUXURY INC,,2017,9,September,1564,0,12
B01663,CIBAO RADIO DISPATCH,,2019,3,March,8116,0,44
B00222,"REYNO CAR SVC, INC.",,2017,3,March,3750,0,22
B01534,METRO CAR SERVICE CORP.,METROLINE CAR SERVICE,2021,7,July,781,0,6
B02127,"CONTINENTAL RIDE, INC.",I + I TRANSPORTATION,2019,3,March,93,0,10
B02298,NYG LIMOUSINE LLC,,2021,3,March,57,0,2
B01700,LINDEN EXPRESS CAR SERVICES INC.,,2018,2,February,1003,0,6
B03085,A & A AMAZOON TRANSPORTATION INC.,,2022,1,January,24,0,8
B02162,A B C SHUTTLE SERVICES CORPORATION,ABC CAR SERVICES,2021,12,December,3672,0,31
B02803,OUTSIDE'S CAR SERVICE INC.,,2019,6,June,8272,0,46
B01338,3210 WEBSTER AV PRESTIGE C/S,,2022,6,June,19034,0,115
B00318,APPLE RADIO CARS INC,,2018,8,August,5,0,2
B00906,OLYMPIA OPERATING CAR SERVICE OF NY CORP.,,2020,7,July,888,0,4
B00281,"VEE CEE LIMOUSINE SERVICE, INC",NOSTRAND CAR SVCE,2017,7,July,2287,0,14
B02661,MIC-LOU CAR SERVICES_LLC,LULU CAR SERVICES,2015,12,December,2184,0,6
B01525,NORTHSIDE BK LLC,,2018,3,March,2544,0,114
B01928,DISCOVER LIMO INC,INFINITY LIMO,2021,3,March,1,0,1
B02803,OUTSIDE'S CAR SERVICE INC.,,2018,9,September,7332,0,46
B02769,MAVROS TRANSPORTATION INC,,2018,5,May,226,0,9
B02410,"POLO LIMOUSINE, CORP.",,2022,5,May,1266,0,33
B01949,FIRST CLASS OF NEW YORK INC.,NEW YORK FIRST CLASS,2015,11,November,1669,0,71
VIA,VIA,VIA,2016,7,July,516639,0,1492
B02536,SEAGULL RIDE CORP,,2022,1,January,2787,0,8
B02553,"NEW JUBILEE CAR SERVICE, INC.",,2019,10,October,2584,0,24
B01392,NEW AMERICAN CLASS L/C SERVICE CORP.,,2015,6,June,2219,0,13
B03202,JUPITER SELECT LLC,,2020,12,December,557,0,8
B01721,W.K. CAR & LIMO SERVICE INC,,2022,6,June,275,0,3
B03060,EASTLAND BLACK CARS CORP,,2019,1,January,21993,0,104
B02799,CHURCH AVENUE EXPRESS INC,,2022,6,June,2409,0,8
B01351,HADERECH CAR SERVICE INC,,2018,2,February,339,0,3
B00856,BEE-BEE CAR SERVICE INC.,,2015,4,April,22913,0,77
B02491,CALL THREES LLC,,2019,11,November,86,0,2
B03408,ABR LUXURY TRANSPORTATION CORP.,,2022,4,April,449,0,6
B01616,"H & B CAR AND LIMOUSINE, INC",SUNNYSIDE CAR SERVICE,2021,4,April,458,0,12
B02724,"CORE CAR, INC",,2019,12,December,376,0,20
B02947,"ONIX TRANSPORTATION, INC",,2016,10,October,93,0,7
B03166,TURING ENTERPRISES INC.,,2019,5,May,399,0,12
